"x1","x2","x3","x4","OT","ind"
13770,0,-1.5253279682342,3.50861790921785,0.000144654579214393,1
13899,0,0.728200663514055,2.42611996634646,0.000227171102371298,1
11699,0,0.574912823924337,0.379778348879627,0.000227453796680149,1
9841,0,1.52611693039202,4.36836366372398,0.000246381606233218,1
10045,0,-1.67808772026135,1.38465209963162,0.000427160891418881,1
10484,0,1.29333052243546,6.68279229679082,0.00043622803567436,1
11949,0,0.155107062566595,3.61335635952102,0.000466745652897882,1
9404,0,1.53070214136249,2.20280879328433,0.000479074056607717,1
13203,0,1.16524167639148,2.4509317089757,0.000519764402674304,1
1767,0,1.56980436844095,6.05995286567256,0.000579979969188571,1
11456,0,0.214836132780789,2.72871106525315,0.000617590636761916,1
12622,0,0.856393950862959,12.8555724633553,0.000741963585217794,1
9394,0,0.999687857750541,1.40755694794078,0.00121798890177161,1
13677,0,0.35219965996298,7.65523664849825,0.00131698739197519,1
13693,0,0.0123013293049782,0.606158142320291,0.00134014653869801,1
13368,0,0.174782107787163,1.56703211666494,0.00136356981885102,1
9483,0,-1.27542901519484,4.99649260289615,0.00168779133680551,1
12569,0,-1.28382642189911,1.69341239920077,0.00181416856745879,1
12181,0,1.84090930296455,2.72319857934884,0.00182106842597326,1
1639,0,-0.0932437992378907,3.71239399688565,0.00183770391360805,1
13937,1,0.269321933911462,1.71904759488065,0.00217362425749569,1
13603,0,0.775309904470559,4.08504408688595,0.00219134846702218,1
11007,0,-0.388893117948903,4.49192117138084,0.00226886554931601,1
13733,0,0.209042229776925,2.2786752886963,0.00231428563387858,1
14494,0,-0.153687904396682,1.22578783925048,0.0024266219371497,1
8373,0,0.0365127729812981,6.21822921555576,0.00326154553776778,1
12069,0,0.345803043552863,0.426929140169978,0.00343407761323306,1
9039,0,1.67938339462502,2.82119727198754,0.00361887737096172,1
2136,0,1.48381360557358,0.261714455290616,0.00367846246808767,1
11276,0,0.10939825388422,4.91481442333858,0.00401898268212508,1
1946,0,-1.26702368265345,3.38132392103787,0.00404629301003038,1
844,0,1.17017056751316,0.730149078986433,0.00418464001268148,1
10431,0,-1.35345396189277,1.51520942349093,0.00422575821049112,1
11236,0,0.282251782173383,7.80528282192126,0.00430394284907111,1
14850,0,-0.853501967518413,7.76639399282048,0.00441667975247954,1
13378,0,-0.800270709257824,3.83642152295977,0.00448075267310833,1
4335,0,-2.29667619746789,1.45219584746934,0.0046325952908368,1
380,0,0.35802279824513,2.4151223100533,0.00473286071792245,1
1989,0,0.193711789101336,4.16406674113029,0.00491932801296393,1
8368,0,-1.00963458987141,9.87272605041093,0.00501404475459331,1
13901,1,1.38711452159117,2.69231136532261,0.00514763200448619,1
14181,0,-1.73773815929833,2.93954599703013,0.00517023717969995,1
1982,0,1.63534255378699,4.57814075576678,0.00535466164795723,1
13269,0,0.132340731710392,2.74649829417962,0.00540720531716943,1
13161,0,-1.22127652508393,3.43347377690274,0.00541716174639313,1
13303,0,0.110707279830767,7.01516771442336,0.0055152170423591,1
1745,1,1.22392660456844,11.6884006531199,0.00556654681543603,1
13050,0,-0.705784348053146,4.5680521866196,0.00557308887234992,1
1540,0,-0.367332423728982,3.39271910669397,0.00567045109520543,1
10306,0,0.322548682308323,1.71634714669112,0.0057004950940609,1
13073,1,0.892013820452003,2.45141850512312,0.00588738290709443,0
13547,0,1.21318186758418,1.83827256473772,0.00613557355892327,1
14715,0,-0.0551764708902465,2.16181704665774,0.00615365195076936,1
9523,0,0.324556860562148,1.18429705723383,0.00636404111126274,1
12004,0,-0.519265052366155,1.99549257307629,0.00636574767305785,1
12415,0,-0.993841281254956,1.5478642294008,0.00674034468829632,1
1820,1,0.911941929714327,4.36476505495284,0.00694167979326714,1
6966,0,1.58942596962853,7.25693988894917,0.00721461482751497,1
12139,1,-0.296882400670566,2.82847644848939,0.00737241688873241,1
12566,0,-1.20632015066559,1.89565255881154,0.00764672257346458,1
12775,0,0.481231445387278,1.99378791307302,0.00803821378697952,1
11669,0,-0.312629895416954,6.09914040884251,0.00812215070861081,1
6253,0,-0.327588910576085,7.80723941556034,0.00840619672089815,1
9687,0,-0.180619961315841,2.86818307567635,0.00847729563247412,1
9869,0,0.440888233691929,0.600911704279219,0.00847852427135659,1
14316,0,-1.4716762887661,6.29397165042525,0.0087216437439618,1
50,0,0.826547096119669,0.926540561191754,0.00903480686247349,1
11376,0,1.28511703607015,5.84309426268845,0.00920312517943482,1
8068,0,1.22128211025825,7.54171244077819,0.00921250647602042,1
14579,0,-0.156450056615792,5.98024350061508,0.00944373919628561,1
13460,0,0.226915508172055,2.06830512741535,0.00953667906026682,1
12612,0,2.59860338232903,1.88489868787803,0.00963786679009596,1
1223,0,-1.1104222228524,1.92213244966998,0.00980267221433389,1
3616,0,1.46877400925535,2.52033590110778,0.00982100524958586,1
12815,0,0.381208879637753,9.41788115771674,0.0100490916252152,1
13487,0,0.496474341261437,3.02345190048409,0.0104725093857674,1
13990,0,0.362984509039176,2.30394987199679,0.0106189354442569,1
10816,0,0.196437403282605,7.47517975429151,0.0110959936864674,1
1209,0,0.789962639994746,1.29747453481798,0.0113671078318019,1
13478,1,0.733814808247638,1.38316428430586,0.0115256032182111,1
12252,0,1.28842109431054,9.66000749678806,0.0118904206562474,1
14940,0,-0.784720011757911,1.50849712119605,0.0119093980174512,1
11887,0,-0.980280000969662,2.82733676884128,0.0119792605032778,1
13622,0,0.42060948182275,2.73512375664248,0.0120140405164825,1
11496,0,0.375367713699668,3.60186356738324,0.012583978462368,1
13943,0,0.850049714767485,4.94932626565978,0.0131209471469952,1
12195,0,-0.447340873604935,9.96343246884499,0.0132629580645813,1
4027,0,1.29762529506679,1.79846149189712,0.0134688941761851,1
12678,0,0.203515191298753,2.11797687284782,0.0136012033382878,1
2478,0,0.308779188993301,3.10231891574975,0.0136974136526652,1
12565,1,0.339886682786937,5.65668556311025,0.0138196374381683,1
13614,0,0.209278518596713,2.25998837841987,0.0138275930657983,1
13258,0,0.84286296749901,3.13795285361321,0.0139140203082254,1
12491,0,-0.808579298402415,3.18469223805423,0.0141491377726197,1
11290,0,-1.29824561479849,1.62111231071941,0.0141585360020149,1
14048,0,-0.596300242260595,8.35852168573058,0.0141634408693129,1
14135,0,-0.939043000624545,3.71928782992899,0.0142004431691021,1
10653,0,-0.627196692768806,8.51291068343265,0.014318781822389,1
4733,0,0.202211133164893,6.33210829921414,0.0144959966672584,0
9881,0,1.23981607728186,2.04228140888423,0.0146403841478275,1
13523,0,-0.992005868992981,16.0046601277164,0.0146860691408316,1
11698,0,0.0035540514366959,1.29038312535528,0.0149324299612393,1
1732,0,-0.99854403652108,3.31755282061441,0.0150985032534372,1
14096,0,0.0664366782710092,5.41829144782304,0.0151733600068837,1
9518,0,-0.037674368779989,0.848234175731907,0.0154035515151918,1
12344,0,-0.791151509546301,2.28127346276,0.0154571468010545,1
257,0,-0.172950378822306,1.22823789975547,0.0156087416140354,1
14558,0,0.310929513256724,3.46713825224513,0.0158434303011745,1
13132,0,0.478510199974936,3.77753496289319,0.0160388767938733,1
